TYPE,PRICE,BEDS,BATH,PROPERTYSQFT,STATE,MAIN_ADDRESS,ADMINISTRATIVE_AREA_LEVEL_2,LOCALITY,SUBLOCALITY,STREET_NAME,LATITUDE,LONGITUDE
Multi-family home for sale,950000,3,2.373860858,2500,"New York, NY 10033","382 Audubon AveNew York, NY 10033",United States,New York,New York County,New York,40.8507355,-73.9311387
Co-op for sale,329000,2,1,950,"Brooklyn, NY 11223","2400 E 3rd St Apt 715Brooklyn, NY 11223",New York,Kings County,Brooklyn,Gravesend,40.5911414,-73.9676771
Co-op for sale,279000,2,1,2184.21,"Queens Village, NY 11427","226-09 88 Ave Unit UpperQueens Village, NY 11427",United States,New York,Queens County,Queens,40.7308084,-73.7400835
Co-op for sale,2495000,3,3,2500,"New York, NY 10028","530 E 86th St # 7ANew York, NY 10028",New York,New York County,New York,Manhattan,40.7751383,-73.9457867
Multi-family home for sale,19995000,7,8,8900,"New York, NY 10010","32 E 22nd StNew York, NY 10010",United States,New York,New York County,New York,40.7397747,-73.9879891
Co-op for sale,595000,2,2,1075,"Jackson Heights, NY 11372","37-30 83rd St Unit 3JJackson Heights, NY 11372",New York,Queens County,Queens,Flushing,40.7487647,-73.8834851
Multi-family home for sale,850000,3,2,1696,"Staten Island, NY 10305","213 Liberty AveStaten Island, NY 10305",United States,New York,Richmond County,Staten Island,40.5870716,-74.0944361
House for sale,849990,5,3,2184.21,"Jamaica, NY 11436","114-34 Inwood StJamaica, NY 11436",United States,New York,Queens County,Queens,40.6841541,-73.7978894
Townhouse for sale,799000,3,2,1184,"College Point, NY 11356","13-04A 126th StCollege Point, NY 11356",United States,New York,Queens County,Queens,40.7865794,-73.8422755
Co-op for sale,550000,1,1,2184.21,"New York, NY 10021","225 E 74th St Apt 5MNew York, NY 10021",New York,New York County,New York,Manhattan,40.7706605,-73.9580748
Multi-family home for sale,3200000,3,2.373860858,17000,"Staten Island, NY 10301","151 Daniel Low TerStaten Island, NY 10301",United States,New York,Richmond County,Staten Island,40.640823,-74.0800239
Co-op for sale,639000,3,1,1100,"Woodside, NY 11377","5142 30th Ave Apt 4JWoodside, NY 11377",New York,Queens County,Queens,Woodside,40.7586944,-73.9049161
House for sale,849990,5,3,2184.21,"Jamaica, NY 11436","114-34 Inwood StJamaica, NY 11436",United States,New York,Queens County,Queens,40.6841541,-73.7978894
House for sale,2199999,4,2,2848,"Staten Island, NY 10306","3569 Richmond RdStaten Island, NY 10306",United States,New York,Richmond County,Staten Island,40.5727658,-74.1401218
Multi-family home for sale,950000,9,7,3316,"Bronx, NY 10457","2108 Bathgate AveBronx, NY 10457",United States,New York,Bronx County,The Bronx,40.8512643,-73.8944397
Multi-family home for sale,850000,3,2,1696,"Staten Island, NY 10305","213 Liberty AveStaten Island, NY 10305",United States,New York,Richmond County,Staten Island,40.5870716,-74.0944361
Co-op for sale,1099500,2,1,2184.21,"Manhattan, NY 10014","129 Barrow St Apt 2AManhattan, NY 10014",New York,New York County,New York,Manhattan,40.731826,-74.0091497
Co-op for sale,2495000,2,2,2184.21,"Manhattan, NY 10003","45 Fifth Ave Unit 2ABManhattan, NY 10003",New York,New York County,New York,Manhattan,40.734217,-73.9946151
House for sale,1500000,3,1,2184.21,"Maspeth, NY 11378","59-42/44 69 StMaspeth, NY 11378",United States,New York,Queens County,Queens,40.7220377,-73.8936918
Condo for sale,720000,2,1,970,"Woodside, NY 11377","61-09 39 Ave Unit M6Woodside, NY 11377",New York,Queens County,Queens,Woodside,40.7472374,-73.9021112
Condo for sale,4780000,2,2,1882,"New York, NY 10018","16 W 40th St Apt 25BNew York, NY 10018",New York,New York County,New York,Manhattan,40.752444,-73.982986
Condo for sale,760000,1,1,700,"New York, NY 10065","404 E 66th St Apt 4NNew York, NY 10065",New York,New York County,New York,Manhattan,40.7636004,-73.9583523
Condo for sale,2350000,2,2,1628,"Manhattan, NY 10022","207 E 57th St Apt 16BManhattan, NY 10022",New York,New York County,New York,Manhattan,40.7602847,-73.9668148
Co-op for sale,339999,1,1,825,"Elmhurst, NY 11373","78-06 46th Ave Unit 4GElmhurst, NY 11373",New York,Queens County,Queens,Elmhurst,40.7402133,-73.8868828
Co-op for sale,220000,1,1,900,"Bronx, NY 10458","3000 Valentine Ave Apt 5FBronx, NY 10458",New York,Bronx County,The Bronx,West Bronx,40.8724137,-73.8852231
Condo for sale,499000,1,1,750,"Woodside, NY 11377","63-14 Queens Blvd Unit 5JWoodside, NY 11377",New York,Queens County,Queens,Woodside,40.7409264,-73.9020731
Co-op for sale,445000,3,1,550,"New York, NY 10075","230 E 79th St Apt 19CNew York, NY 10075",New York,New York County,New York,Manhattan,40.7735465,-73.9561566
Co-op for sale,299000,1,1,700,"East Elmhurst, NY 11369","32-20 91st St Unit 310East Elmhurst, NY 11369",New York,Queens County,Queens,East Elmhurst,40.7585599,-73.87738
Condo for sale,4075000,3,3,2150,"New York, NY 10069","240 Riverside Blvd Apt 19BNew York, NY 10069",New York,New York County,New York,Manhattan,40.7804721,-73.9871434
Condo for sale,580000,2,2,950,"Flushing, NY 11355","130-14 60th Ave Unit 2CFlushing, NY 11355",New York,Queens County,Queens,Flushing,40.7440024,-73.8353772
Co-op for sale,299900,1,1,2184.21,"Bronx, NY 10463","3017 Riverdale Ave Apt 2JBronx, NY 10463",New York,Bronx County,The Bronx,Spuyten Duyvil,40.880985,-73.9102329
Condo for sale,995000,2,2,1015,"New York, NY 10026","2110 Frederick Douglass Blvd Apt 8DNew York, NY 10026",New York,New York County,New York,Manhattan,40.8030984,-73.9559736
Pending,825000,6,2,2444,"Staten Island, NY 10306","80 Kelvin AveStaten Island, NY 10306",United States,New York,Richmond County,Staten Island,40.5546232,-74.1349952
Condo for sale,1525000,2,2,1329,"Queens, NY 11101","5-30 47th Ave Unit 1BQueens, NY 11101",New York,Queens County,Queens,Long Island City,40.745483,-73.954465
Co-op for sale,222888,2,1,2184.21,"Flushing, NY 11367","144-60 Gravett Rd Unit 3CFlushing, NY 11367",New York,Queens County,Queens,Flushing,40.7352139,-73.8226982
Co-op for sale,1995000,3,3,1800,"Manhattan, NY 10022","418 E 59th St Apt 31BManhattan, NY 10022",New York,New York County,New York,Manhattan,40.7590132,-73.9612618
